,tempo,comparações,trocas,Algoritmo,Tamanho,Distribuição
0,0.0009447910,499500,1998,Selection Sort,1000,aleatorio
1,0.0002654090,253352,253352,Insertion Sort,1000,aleatorio
2,0.0012253590,496799,504706,Bubble Sort,1000,aleatorio
3,0.0000868770,13496,9075,Quick Sort,1000,aleatorio
4,0.0001163230,8731,19952,Merge Sort,1000,aleatorio
5,0.0000493450,0,0,STL (Standard Library),1000,aleatorio
6,0.0004570770,499500,1998,Selection Sort,1000,quase_ordenado
7,0.0000780000,77906,77906,Insertion Sort,1000,quase_ordenado
8,0.0006957840,498905,153814,Bubble Sort,1000,quase_ordenado
9,0.0000585220,12334,4677,Quick Sort,1000,quase_ordenado
10,0.0001095000,8162,19952,Merge Sort,1000,quase_ordenado
11,0.0000274620,0,0,STL (Standard Library),1000,quase_ordenado
12,0.0004280810,499500,1998,Selection Sort,1000,inversamente_ordenados
13,0.0004129620,500499,500499,Insertion Sort,1000,inversamente_ordenados
14,0.0013619810,499500,999000,Bubble Sort,1000,inversamente_ordenados
15,0.0000686920,12213,5499,Quick Sort,1000,inversamente_ordenados
16,0.0000984580,4932,19952,Merge Sort,1000,inversamente_ordenados
17,0.0000134660,0,0,STL (Standard Library),1000,inversamente_ordenados
18,0.0398365040,49995000,19998,Selection Sort,10000,aleatorio
19,0.0163168370,25085194,25085194,Insertion Sort,10000,aleatorio
20,0.1519738160,49991345,50150390,Bubble Sort,10000,aleatorio
21,0.0011694820,170564,114513,Quick Sort,10000,aleatorio
22,0.0013968380,120403,267232,Merge Sort,10000,aleatorio
23,0.0005643920,0,0,STL (Standard Library),10000,aleatorio
24,0.0355085430,49995000,19998,Selection Sort,10000,quase_ordenado
25,0.0048958460,8161034,8161034,Insertion Sort,10000,quase_ordenado
26,0.0553924520,49994997,16302070,Bubble Sort,10000,quase_ordenado
27,0.0008726230,169506,52080,Quick Sort,10000,quase_ordenado
28,0.0007069250,116913,267232,Merge Sort,10000,quase_ordenado
29,0.0001997130,0,0,STL (Standard Library),10000,quase_ordenado
30,0.0302040340,49995000,19998,Selection Sort,10000,inversamente_ordenados
31,0.0289337900,50004999,50004999,Insertion Sort,10000,inversamente_ordenados
32,0.1087224000,49995000,99990000,Bubble Sort,10000,inversamente_ordenados
